id,age,income,loan_amount,term,gender,credit_history,default
1,59,48158,8742,24,F,0,1
2,49,46760,15873,18,M,1,0
3,35,47435,15886,6,M,0,0
4,63,77453,9176,18,M,1,0
5,28,33579,4254,12,M,0,1
6,41,45401,12176,24,F,0,0
7,59,72549,9367,24,M,1,0
8,39,45155,19262,18,M,0,0
9,43,35963,10253,24,M,1,0
10,31,53945,10532,24,M,1,0
11,31,62084,14034,18,M,1,0
12,44,44107,10016,6,M,1,0
13,56,58315,13471,18,M,1,0
14,60,29350,7304,12,F,0,0
15,44,30184,4407,36,F,1,0
16,23,43398,5437,6,F,1,1
17,42,58850,8314,18,M,0,0
18,22,61422,10593,6,M,0,0
19,44,32269,12495,36,F,1,1
20,64,60866,12278,24,F,1,0
21,50,52497,10050,24,F,1,0
22,58,36811,4649,36,M,1,0
23,22,29987,13494,24,F,1,0
24,41,53447,2493,6,F,1,0
25,53,69343,4162,24,M,1,0
26,32,50532,10225,36,F,0,0
27,42,35976,13982,36,F,0,0
28,64,21979,13136,36,M,1,0
29,45,72942,9498,12,M,1,1
30,47,65627,12223,6,F,1,0
31,62,54531,4672,36,F,1,0
32,48,72169,7191,6,F,0,0
33,36,53358,7266,12,F,0,1
34,35,42034,5125,6,M,1,0
35,64,58326,8203,18,M,0,0
36,23,37554,8955,12,M,0,0
37,57,35065,7688,12,M,1,0
38,27,61574,8716,24,M,1,0
39,41,62836,1000,36,M,1,0
40,29,30893,11928,12,F,1,0
41,59,31448,7971,6,F,1,0
42,38,43324,7967,18,F,0,0
43,24,39330,3058,6,M,1,1
44,45,57147,17755,6,F,1,0
45,34,50720,17991,18,M,0,0
46,29,67473,1657,24,M,1,0
47,46,54758,8822,36,M,1,0
48,22,40331,14638,12,M,1,0
49,40,21633,8207,36,M,1,0
50,48,52691,6969,24,F,1,0
51,27,24345,6644,18,M,1,0
52,64,40145,11563,36,F,1,0
53,28,39174,23076,6,M,1,0
54,55,42373,14139,12,F,1,0
55,34,30259,4457,12,F,1,0
56,37,39120,6855,24,F,1,1
57,56,67188,8661,24,F,1,0
58,60,67147,5704,18,F,0,0
59,24,72987,4771,24,M,1,0
60,22,50152,13749,36,F,1,0
61,26,54068,7485,12,M,1,0
62,62,67409,11859,18,F,0,0
63,24,27940,18912,24,M,1,0
64,49,62084,7378,6,M,1,0
65,38,69535,11373,12,M,1,1
66,46,36665,4881,18,F,1,0
67,64,70739,12077,12,M,1,0
68,54,80865,16500,36,F,1,1
69,30,61667,16242,24,M,0,0
70,56,58917,10211,24,F,1,1
71,34,33203,7405,24,M,1,0
72,51,66038,11184,6,F,1,0
73,35,34616,10255,36,M,1,0
74,28,55546,12305,6,M,1,0
75,34,57066,6827,36,M,1,0
76,43,556,7999,36,F,1,0
77,60,56087,8908,36,M,0,0
78,41,89322,13332,24,M,1,0
79,36,18622,13995,24,M,1,0
80,38,49191,7842,24,M,1,0
81,44,20793,4245,6,F,0,1
82,46,36587,11813,18,F,1,0
83,45,21053,13659,36,F,1,0
84,61,52393,9329,6,M,1,0
85,49,61904,6431,24,F,0,0
86,35,56146,7610,24,M,1,0
87,21,36047,18196,18,M,1,0
88,45,40859,11108,24,M,1,0
89,27,54084,15066,36,F,1,1
90,29,36516,5984,12,M,1,0
91,44,30068,16051,24,F,1,0
92,21,46413,14473,18,M,1,0
93,64,35829,9487,12,F,1,0
94,28,56173,13044,36,F,1,0
95,44,69480,16469,36,F,0,0
96,31,88963,4459,36,M,0,0
97,37,55071,7371,18,F,1,0
98,28,59689,12620,12,F,0,0
99,55,41010,10101,36,M,0,0
100,55,41939,12056,24,F,1,0
101,53,69260,13440,12,F,0,0
102,25,45855,12493,36,F,1,0
103,62,51094,8735,12,M,1,0
104,59,68344,9080,24,F,1,0
105,61,45970,17776,6,F,0,0
106,48,72506,10431,36,F,1,0
107,27,58595,16776,24,M,0,1
108,29,56830,17124,18,F,1,0
109,28,40277,6095,36,F,1,0
110,32,57636,13677,6,M,1,0
111,54,43564,4598,24,F,0,0
112,53,57041,18085,24,F,0,0
113,43,48472,10942,12,F,1,0
114,44,64502,10700,36,M,1,0
115,57,49523,5674,6,F,1,0
116,55,80567,6966,18,M,1,1
117,64,45866,11130,12,F,1,0
118,60,41981,10454,36,F,0,0
119,42,55191,8074,6,M,1,1
120,47,66168,14391,12,F,1,0
121,55,66051,9987,6,F,1,0
122,21,52501,4946,6,M,1,1
123,55,55086,13601,12,M,0,0
124,57,55108,4203,12,M,1,0
125,34,33831,1000,36,F,1,1
126,23,65361,10480,12,M,0,0
127,21,31132,4846,36,F,0,0
128,25,33860,10890,6,M,1,0
129,46,50825,14081,12,M,1,0
130,34,45202,14922,36,M,0,0
131,59,61942,12488,36,F,0,0
132,47,56710,3369,18,F,1,0
133,29,52073,6399,36,F,0,0
134,35,33116,10027,36,M,0,1
135,35,50398,10075,18,F,1,0
136,46,49212,5290,24,F,0,0
137,62,53332,7687,12,M,1,0
138,33,43549,14051,18,F,1,0
139,52,57842,12518,36,M,1,0
140,59,44801,8457,36,M,1,1
141,52,56436,15148,12,F,1,0
142,24,61940,3367,6,M,0,0
143,50,41981,14111,18,F,1,0
144,57,38417,13422,24,M,1,0
145,43,57145,13733,12,F,1,0
146,59,30183,11482,12,F,1,0
147,35,66674,6733,18,F,1,0
148,63,50164,12959,36,M,1,0
149,49,48278,7921,36,F,0,0
150,56,58190,11026,24,M,0,0
151,33,57259,6360,18,F,1,0
152,52,50097,8275,12,F,0,0
153,27,63179,9283,18,M,1,0
154,42,39914,11998,6,F,1,0
155,48,60685,12835,12,F,1,0
156,22,33820,18478,24,M,1,0
157,62,57659,10740,24,F,1,0
158,26,45081,5261,12,F,1,0
159,48,30333,13999,36,M,1,0
160,48,53849,11688,12,F,1,0
161,64,49483,9048,12,F,0,0
162,64,26859,7997,6,M,1,0
163,40,18295,6908,12,M,1,0
164,50,47716,6742,18,F,1,0
165,31,74273,3897,18,M,1,0
166,48,54815,14827,24,F,1,0
167,45,39975,12173,36,M,1,1
168,59,66228,10465,24,F,1,0
169,53,63608,6896,6,M,1,0
170,21,69073,15446,12,F,0,1
171,47,60258,2896,24,F,0,0
172,33,63288,9345,12,F,1,0
173,61,60966,14910,24,M,1,1
174,23,42837,1000,12,M,1,0
175,59,25440,10880,24,F,1,0
176,26,42182,6699,18,M,1,0
177,28,66574,10605,6,M,1,0
178,47,44284,8127,24,M,0,0
179,29,47818,12968,18,M,1,0
180,57,32513,16162,36,M,1,0
181,53,41733,22566,24,M,1,0
